"","Target","Effector","Median_FCC","MAD"
"113","ENO","GAPD",0.0075,0.02490768
"114","FBA","GAPD",0.0049,0.0088956
"115","FBPase","GAPD",-0.0084,0.07027524
"116","FUMC","GAPD",3e-04,0.00326172
"117","GAPD","GAPD",0.0047,0.00919212
"118","GLCO","GAPD",0.0045,0.00993342
"119","GND","GAPD",0.0176,0.02980026
"120","ICD","GAPD",0.0102,0.02609376
"121","MDH","GAPD",-0.0067,0.07665042
"122","ME","GAPD",-4e-04,0.01586382
"123","NADPase","GAPD",0.0044,0.0088956
"124","PDH","GAPD",0.0068,0.0318759
"125","PGI","GAPD",0.0185,0.03083808
"126","PGK","GAPD",0.0047,0.00919212
"127","PGM","GAPD",0.0075,0.02490768
"128","PGP","GAPD",0.0045,0.00993342
"129","PNT","GAPD",0.0035,0.01452948
"130","PPK","GAPD",0.0034,0.02609376
"131","PRK","GAPD",0.0045,0.00993342
"132","PRSA","GAPD",-0.0147,0.0229803
"133","PTA","GAPD",0.0054,0.0437367
"134","PYK","GAPD",0.0256,0.07902258
"135","RPE","GAPD",0.004,0.00993342
"136","RPI","GAPD",0.0056,0.01067472
"137","RuBisC","GAPD",0.0045,0.00993342
"138","RuBisO","GAPD",0.0045,0.00993342
"139","SBPase","GAPD",0.0049,0.0088956
"140","Sink_ACCOA","GAPD",0.0039,0.0118608
"141","Sink_E4P","GAPD",0.0049,0.01230558
"142","Sink_G6P","GAPD",0.0175,0.02980026
"143","Sink_GLX","GAPD",0.0045,0.00993342
"144","Sink_H2O2","GAPD",0.0045,0.00993342
"145","Sink_O2G","GAPD",0.0102,0.02609376
"146","Sink_OAA","GAPD",0.0013,0.01793946
"147","Sink_P3G","GAPD",-0.0029,0.01986684
"148","Sink_PRPP","GAPD",-0.0147,0.0229803
"149","Sink_PYR","GAPD",0.0027,0.01734642
"150","Supply_COA","GAPD",0.0039,0.0118608
"151","Supply_FUM","GAPD",3e-04,0.00326172
"152","Supply_P_i","GAPD",-0.0032,0.01230558
"153","TAL","GAPD",0.0068,0.01275036
"154","TKT1","GAPD",0.0039,0.01097124
"155","TKT2","GAPD",0.004,0.00934038
"156","TPI","GAPD",0.0048,0.00904386
"157","XFPK1","GAPD",0.0073,0.04640538
"158","XFPK2","GAPD",-0.0158,0.05648706
"159","ZWF","GAPD",0.0176,0.02980026
"160","ACO","TPI",0.0175,0.04937058
"161","ADK","TPI",-0.0144,0.02698332
"162","ALD","TPI",-0.064,0.17880156
"163","ATPSyn","TPI",0.0046,0.01200906
"164","CS","TPI",0.0175,0.04937058
"165","DEVB","TPI",0.0403,0.05811792
"166","ENO","TPI",-0.0061,0.04121628
"167","FBA","TPI",0.0104,0.0170499
"168","FBPase","TPI",-0.064,0.17880156
"169","FUMC","TPI",0.0013,0.00504084
"170","GAPD","TPI",0.0049,0.01289862
"171","GLCO","TPI",0.0027,0.01378818
"172","GND","TPI",0.0403,0.05811792
"173","ICD","TPI",0.0175,0.04937058
"174","MDH","TPI",-0.0332,0.12542796
"175","ME","TPI",-0.004,0.02579724
"176","NADPase","TPI",0.0053,0.01245384
"177","PDH","TPI",-0.0191,0.0637518
"178","PGI","TPI",0.0461,0.06478962
"179","PGK","TPI",0.0049,0.01289862
"180","PGM","TPI",-0.0061,0.04121628
"181","PGP","TPI",0.0027,0.01378818
"182","PNT","TPI",-0.006,0.0281694
"183","PPK","TPI",-0.0027,0.0407715
"184","PRK","TPI",0.0027,0.01378818
"185","PRSA","TPI",-0.0144,0.02698332
"186","PTA","TPI",0.0979,0.14069874
"187","PYK","TPI",-0.0103,0.14840826
"188","RPE","TPI",0.0011,0.01349166
"189","RPI","TPI",0.0066,0.01571556
"190","RuBisC","TPI",0.0027,0.01378818
"191","RuBisO","TPI",0.0027,0.01378818
"192","SBPase","TPI",0.0104,0.0170499
"193","Sink_ACCOA","TPI",0.0167,0.02846592
"194","Sink_E4P","TPI",-0.0207,0.044478
"195","Sink_G6P","TPI",0.0439,0.06241746
"196","Sink_GLX","TPI",0.0027,0.01378818
"197","Sink_H2O2","TPI",0.0027,0.01378818
"198","Sink_O2G","TPI",0.0175,0.04937058
"199","Sink_OAA","TPI",-0.0021,0.02624202
"200","Sink_P3G","TPI",-0.0116,0.02861418
"201","Sink_PRPP","TPI",-0.0144,0.02698332
"202","Sink_PYR","TPI",3e-04,0.0326172
