"","Target","Effector","Median_FCC","MAD"
"114","FBA","GAPD",0.0048,0.00770952
"115","FBPase","GAPD",-0.0087,0.06701352
"116","FUMC","GAPD",2e-04,0.00340998
"117","GAPD","GAPD",0.0046,0.00830256
"118","GLCO","GAPD",0.0048,0.00919212
"119","GND","GAPD",0.0132,0.03083808
"120","ICD","GAPD",0.0096,0.02490768
"121","MDH","GAPD",-0.003,0.08050518
"122","ME","GAPD",3e-04,0.01690164
"123","NADPase","GAPD",0.0043,0.00800604
"124","PDH","GAPD",0.0124,0.0340998
"125","PGI","GAPD",0.013,0.03217242
"126","PGK","GAPD",0.0046,0.00830256
"127","PGM","GAPD",0.0099,0.02550072
"128","PGP","GAPD",0.0048,0.00919212
"129","PNT","GAPD",0.006,0.01541904
"130","PPK","GAPD",0.0051,0.02639028
"131","PRK","GAPD",0.0048,0.00919212
"132","PRSA","GAPD",-0.0095,0.02194248
"133","PTA","GAPD",-0.0033,0.05426316
"134","PYK","GAPD",0.0312,0.0874734
"135","RPE","GAPD",0.0045,0.00919212
"136","RPI","GAPD",0.0053,0.00978516
"137","RuBisC","GAPD",0.0048,0.00919212
"138","RuBisO","GAPD",0.0048,0.00919212
"139","SBPase","GAPD",0.0048,0.00770952
"140","Sink_ACCOA","GAPD",0.0025,0.0140847
"141","Sink_E4P","GAPD",0.0073,0.01749468
"142","Sink_G6P","GAPD",0.012,0.0311346
"143","Sink_GLX","GAPD",0.0048,0.00919212
"144","Sink_H2O2","GAPD",0.0048,0.00919212
"145","Sink_O2G","GAPD",0.0096,0.02490768
"146","Sink_OAA","GAPD",0.0023,0.01838424
"147","Sink_P3G","GAPD",-0.0014,0.02105292
"148","Sink_PRPP","GAPD",-0.0095,0.02194248
"149","Sink_PYR","GAPD",0.0029,0.01942206
"150","Supply_COA","GAPD",0.0025,0.0140847
"151","Supply_FUM","GAPD",2e-04,0.00340998
"152","Supply_P_i","GAPD",-0.0016,0.01171254
"153","TAL","GAPD",0.007,0.0126021
"154","TKT1","GAPD",0.0051,0.01067472
"155","TKT2","GAPD",0.004,0.00859908
"156","TPI","GAPD",0.0045,0.00830256
"157","XFPK1","GAPD",-0.0036,0.05826618
"158","XFPK2","GAPD",-0.0015,0.07368522
"159","ZWF","GAPD",0.0132,0.03083808
"160","ACO","TPI",0.0106,0.0333585
"161","ADK","TPI",-0.0079,0.02045988
"162","ALD","TPI",-0.0251,0.1267623
"163","ATPSyn","TPI",0.003,0.00845082
"164","CS","TPI",0.0106,0.0333585
"165","DEVB","TPI",0.0305,0.04507104
"166","ENO","TPI",-0.0069,0.03306198
"167","FBA","TPI",0.0059,0.0111195
"168","FBPase","TPI",-0.0251,0.1267623
"169","FUMC","TPI",0.0011,0.00415128
"170","GAPD","TPI",0.003,0.00904386
"171","GLCO","TPI",0.0014,0.00993342
"172","GND","TPI",0.0305,0.04507104
"173","ICD","TPI",0.0106,0.0333585
"174","MDH","TPI",-0.0195,0.10659894
"175","ME","TPI",-0.0017,0.02194248
"176","NADPase","TPI",0.0035,0.0088956
"177","PDH","TPI",-0.0172,0.05307708
"178","PGI","TPI",0.0367,0.0526323
"179","PGK","TPI",0.003,0.00904386
"180","PGM","TPI",-0.0069,0.03306198
"181","PGP","TPI",0.0014,0.00993342
"182","PNT","TPI",-0.0054,0.02327682
"183","PPK","TPI",-0.0011,0.03232068
"184","PRK","TPI",0.0014,0.00993342
"185","PRSA","TPI",-0.0079,0.02045988
"186","PTA","TPI",0.0673,0.10496808
"187","PYK","TPI",-0.0211,0.14144004
"188","RPE","TPI",4e-04,0.00978516
"189","RPI","TPI",0.004,0.0111195
"190","RuBisC","TPI",0.0014,0.00993342
"191","RuBisO","TPI",0.0014,0.00993342
"192","SBPase","TPI",0.0059,0.0111195
